Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,URB_RURAL,Dens_Dom,Dens_hab
,,,,,,"-1","0","-1",,,F1789,1,0,0,-36.128412951992,-7.94877806780946,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,281,200ME69446N103926,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,3,2,5,1,40085.8259277344,800.92169806478,1,0,0.000124732368219
,,,,,,"-1","0","-1",,,F1788,1,0,0,-36.1284107794531,-7.94868575519778,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,281,200ME69446N103926,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,3,2,5,1,40085.8259277344,800.92169806478,1,0,0.000124732368219
,,,,,,"-1","0","-1",,,F1787,1,0,0,-36.1284161908178,-7.9484727715569,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,281,200ME69446N103926,1KME6944N10392,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,3,2,5,1,40085.8259277344,800.92169806478,1,0,0.000124732368219
,,,,,,"-1","0","-1",,,F1782,1,0,0,-36.1274046482879,-7.94316667016338,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,296,200ME69446N103932,1KME6944N10393,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40085.8549804688,800.921919035548,1,0,0
,,,,,,"-1","0","-1",,,F1829,1,0,0,-36.1219441984842,-7.93614856691487,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,334,200ME69452N103938,1KME6945N10393,5KME6945N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,5,6,11,2,40085.4719238281,800.918018912444,1,0,0.000274413633471
,,,,,,"-1","0","-1",,,F1625,1,0,0,-36.1229738310978,-7.93648419421586,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,334,200ME69452N103938,1KME6945N10393,5KME6945N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,5,6,11,2,40085.4719238281,800.918018912444,1,0,0.000274413633471
,,,,,,"-1","0","-1",,,F1859,1,0,0,-36.1224260924091,-7.93573686565771,TAQUARITINGA DO NORTE,2615003,261500,26,Pernambuco,2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,339,200ME69452N103940,1KME6945N10393,5KME6945N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,1,0,1,1,40085.4744873047,800.918024281511,1,0,2.4946692357e-05
,,,,,,"-1","0","-1",,,F1250,1,0,0,-36.0894367366383,-8.00277425511563,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.9135742188,800.893306286296,1,0,0
,,,,,,"-1","0","-1",,,F1251,1,0,0,-36.0895536708951,-8.00264015823104,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.9135742188,800.893306286296,1,0,0
,,,,,,"-1","0","-1",,,F1252,1,0,0,-36.0896143922208,-8.00258238792475,TORITAMA,2615409,261540,26,Pernambuco,2615409,2000,0.428,0.069,0.748,0.466,2010,0.362,0.112,0.595,0.379,420,200ME69484N103862,1KME6948N10386,5KME6945N10385,10KME6940N10380,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,0,0,0,0,40082.9135742188,800.893306286296,1,0,0
