id,Ocup_2000,Ocup_2010,Ocup_2018,xcoord,ycoord,NM_MU,CODMU,COD_1,COD_UF,UF,COD_2,ANO,IVS_2000,IVS_INF_00,IVS_CPH_00,IVS_REN_00,2010_ANO,IVS_2010,IVS_INF_10,IVS_CPH_10,IVS_REN_10,fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter
F1810,"1","0","0",-36.128737921266698,-7.955293297722300,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1811,"1","0","0",-36.128753453642098,-7.955422940426140,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1811,"1","0","0",-36.128764912854997,-7.955514107434150,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1811,"1","0","0",-36.128774360733900,-7.955588028438830,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1805,"1","0","0",-36.128683627732400,-7.954458208543110,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1804,"1","0","0",-36.128665137354503,-7.954292695250930,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1809,"1","0","0",-36.128733410000798,-7.955254873812280,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,260,200ME69444N103918,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"79","81","160","48",40085.928466796875000,800.922815063787539
F1802,"1","0","0",-36.128567224192203,-7.953573229506310,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,265,200ME69444N103920,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"50","45","95","25",40085.940795898437500,800.922917324910713
F1803,"1","0","0",-36.128612489707699,-7.953903232574680,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,265,200ME69444N103920,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"50","45","95","25",40085.940795898437500,800.922917324910713
F1471,"1","0","0",-36.127851583158503,-7.954138503131050,TAQUARITINGA DO NORTE,"2615003",261500.000000000000000,26.000000000000000,Pernambuco,2615003.000000000000000,2000.000000000000000,0.539000000000000,0.406000000000000,0.656000000000000,0.555000000000000,2010.000000000000000,0.385000000000000,0.255000000000000,0.495000000000000,0.406000000000000,266,200ME69446N103920,1KME6944N10391,5KME6940N10390,10KME6940N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40085.788696289062500,800.921393330894716
