"","id","Rodovia","SNV","Km","Lado","Tipo","P_constr","N_Pessoas","UN_ID","Ocup_2000","Ocup_2010","Ocup_2018","UN_ORIG_FI","n","distance","feature_x","feature_y","xcoord","ycoord","zcoord","mvalue"
"1185","F242",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,913,1,10.8435413001658,832523.532604536,9083517.84701449,-35.9817768843974,-8.27970630321266,-999999,0
"1186","F243",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,912,1,9.42578517485946,832524.897019715,9083509.11547126,-35.9817639105354,-8.27978507992426,-999999,0
"1187","F244",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,912,1,13.2709834259862,832526.504308224,9083496.05612773,-35.9817484362641,-8.27990293213296,-999999,0
"1188","F245",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,910,1,10.2885881855011,832528.022179575,9083481.58221108,-35.9817336754097,-8.28003356802734,-999999,0
"1189","F246",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,909,1,9.76389072118697,832530.208353176,9083464.29200107,-35.9817126603638,-8.28018959709259,-999999,0
"1190","F247",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,669,1,13.8934987610588,832533.248724751,9083439.74763579,-35.9816833997784,-8.28041109289099,-999999,0
"1191","F248",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,907,1,12.1736777146579,832535.409447692,9083422.28684122,-35.981662603682,-8.28056866453866,-999999,0
"1192","F249",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,906,1,13.7345808276644,832537.169852335,9083405.62546543,-35.9816454927334,-8.28071904264986,-999999,0
"1193","F250",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,903,1,7.27679217424966,832543.592008668,9083364.10015496,-35.9815843960446,-8.28109369188088,-999999,0
"1194","F251",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,902,1,4.37990600955126,832545.036499867,9083353.94778416,-35.9815705980063,-8.28118529710735,-999999,0
"1195","F252",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,902,1,4.49278915618591,832545.810421699,9083346.82433999,-35.9815630893751,-8.28124958865051,-999999,0
"1196","F253",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,900,1,7.31768105719115,832546.68753519,9083336.22693651,-35.9815544057183,-8.2813452526876,-999999,0
"1197","F254",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,670,1,4.28335509549019,832547.545886102,9083323.13246283,-35.9815457202053,-8.28146347354164,-999999,0
"1198","F255",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,898,1,14.9833336319704,832547.327322609,9083298.27859984,-35.9815459903381,-8.28168798846991,-999999,0
"1199","F265",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,853,1,3.71615423783242,832274.475711059,9082921.81899272,-35.9839943360157,-8.28510719189263,-999999,0
"1200","F266",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,848,1,5.15111678512854,832271.907916254,9082907.23854254,-35.9840166175295,-8.28523907053787,-999999,0
"1201","F267",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,851,1,9.26188993817377,832269.17019027,9082887.29593987,-35.9840400708298,-8.28541939618558,-999999,0
"1202","F268",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,850,1,3.25398487170967,832267.811387371,9082874.76258359,-35.9840515298472,-8.2855327008962,-999999,0
"1203","F269",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,849,1,3.12160472823772,832267.208073268,9082868.43807746,-35.9840565653933,-8.28558987038338,-999999,0
"1204","F270",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,846,1,12.294313158706,832261.647422039,9082845.82800969,-35.9841054340167,-8.28579448437415,-999999,0
"1205","F271",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,844,1,7.28361173215411,832256.335690616,9082794.80434763,-35.9841500889726,-8.28625573613222,-999999,0
"1206","F272",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,836,1,0.640915821682379,832252.325880253,9082752.04609278,-35.9841835068053,-8.28664223869512,-999999,0
