"","xcoord","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","id.x","Ocup_2000.x","Ocup_2010.x","Ocup_2018.x","ycoord.x","NM_MU.x","CODMU.x","COD_1.x","COD_UF.x","UF.x","COD_2.x","ANO.x","IVS_2000.x","IVS_INF_00.x","IVS_CPH_00.x","IVS_REN_00.x","X2010_ANO","IVS_2010.x","IVS_INF_10.x","IVS_CPH_10.x","IVS_REN_10.x","fid","ID_UNICO","nome_1KM","nome_5KM","nome_10KM","nome_50KM","nome_100KM","nome_500KM","QUADRANTE","MASC","FEM","POP","DOM_OCU","area","perimeter","URB_RURAL","Dens_Dom","Dens_hab","id.y","Ocup_2000.y","Ocup_2010.y","Ocup_2018.y","ycoord.y","NM_MU.y","CODMU.y","COD_1.y","COD_UF.y","UF.y","COD_2.y","ANO.y","IVS_2000.y","IVS_INF_00.y","IVS_CPH_00.y","IVS_REN_00.y","2010_ANO","IVS_2010.y","IVS_INF_10.y","IVS_CPH_10.y","IVS_REN_10.y"
"1",-36.128764912855,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1811",1,0,0,-7.95551410743415,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,"200ME69444N103918","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004,"F1811",1,0,0,-7.95551410743415,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"2",-36.1287534536421,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1811",1,0,0,-7.95542294042614,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,"200ME69444N103918","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004,"F1811",1,0,0,-7.95542294042614,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"3",-36.1287379212667,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1810",1,0,0,-7.9552932977223,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,"200ME69444N103918","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004,"F1810",1,0,0,-7.9552932977223,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"4",-36.1287334100008,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1809",1,0,0,-7.95525487381228,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,"200ME69444N103918","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004,"F1809",1,0,0,-7.95525487381228,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"5",-36.1286836277324,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1805",1,0,0,-7.95445820854311,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,"200ME69444N103918","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004,"F1805",1,0,0,-7.95445820854311,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"6",-36.1286651373545,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1804",1,0,0,-7.95429269525093,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,260,"200ME69444N103918","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",79,81,160,48,40085.9284667969,800.922815063788,1,0.001,0.003991425573004,"F1804",1,0,0,-7.95429269525093,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"7",-36.1286124897077,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1803",1,0,0,-7.95390323257468,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,265,"200ME69444N103920","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",50,45,95,25,40085.9407958984,800.922917324911,1,0.001,0.002369908205066,"F1803",1,0,0,-7.95390323257468,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"8",-36.1285672241922,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1802",1,0,0,-7.95357322950631,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,265,"200ME69444N103920","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",50,45,95,25,40085.9407958984,800.922917324911,1,0.001,0.002369908205066,"F1802",1,0,0,-7.95357322950631,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"9",-36.1284161908178,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1787",1,0,0,-7.9484727715569,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,281,"200ME69446N103926","1KME6944N10392","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",3,2,5,1,40085.8259277344,800.92169806478,1,0,0.000124732368219,"F1787",1,0,0,-7.9484727715569,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"10",-36.1284160654366,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1790",1,0,0,-7.94887331710697,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,276,"200ME69446N103924","1KME6944N10392","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",0,0,0,0,40085.8137207031,800.921597073572,1,0,0,"F1790",1,0,0,-7.94887331710697,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"11",-36.128412951992,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1789",1,0,0,-7.94877806780946,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,281,"200ME69446N103926","1KME6944N10392","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",3,2,5,1,40085.8259277344,800.92169806478,1,0,0.000124732368219,"F1789",1,0,0,-7.94877806780946,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"12",-36.1284107794531,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1788",1,0,0,-7.94868575519778,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,281,"200ME69446N103926","1KME6944N10392","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",3,2,5,1,40085.8259277344,800.92169806478,1,0,0.000124732368219,"F1788",1,0,0,-7.94868575519778,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"13",-36.1281127019436,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1793",1,0,0,-7.94910648044451,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,276,"200ME69446N103924","1KME6944N10392","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",0,0,0,0,40085.8137207031,800.921597073572,1,0,0,"F1793",1,0,0,-7.94910648044451,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"14",-36.1278515831585,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1471",1,0,0,-7.95413850313105,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,266,"200ME69446N103920","1KME6944N10391","5KME6940N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",0,0,0,0,40085.7886962891,800.921393330895,1,0,0,"F1471",1,0,0,-7.95413850313105,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"15",-36.1230957699223,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1823",1,0,0,-7.967105161178,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,4306,"1KME6945N10390","1KME6945N10390","5KME6945N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",259,265,524,125,1002129.26000977,4004.57685688233,0,0,0.000522886638391,"F1823",1,0,0,-7.967105161178,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
"16",-36.1229738310978,NA,NA,NA,NA,NA,NA,-1,0,-1,NA,NA,"F1625",1,0,0,-7.93648419421586,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406,334,"200ME69452N103938","1KME6945N10393","5KME6945N10390","10KME6940N10390","50KME6900N10350","100KME6900N10350","500KME6800N10350","ID_68",5,6,11,2,40085.4719238281,800.918018912444,1,0,0.000274413633471,"F1625",1,0,0,-7.93648419421586,"TAQUARITINGA DO NORTE",2615003,261500,26,"Pernambuco",2615003,2000,0.539,0.406,0.656,0.555,2010,0.385,0.255,0.495,0.406
