cod;id;Ocup_2000;Ocup_2010;Ocup_2018;xcoord;ycoord;NM_MU;CODMU;COD_1;COD_UF;UF;COD_2;ANO;IVS_2000;IVS_INF_00;IVS_CPH_00;IVS_REN_00;IVS_2010;IVS_INF_10;IVS_CPH_10;IVS_REN_10;fid;MASC;FEM;POP;DOM_OCU;area;perimeter;URB_RURAL;Dens_Dom;Dens_hab;MRT;VTN_MED;VTN_MIN;VTN_MAX;IDEX
300;F266;1;1;0;-35,9840166175;-8,2852390705;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
301;F267;1;1;0;-35,9840400708;-8,2854193962;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
302;F268;1;1;0;-35,9840515298;-8,2855327009;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
303;F269;1;1;0;-35,9840565654;-8,2855898704;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
304;F270;1;1;0;-35,984105434;-8,2857944844;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
305;F271;1;1;0;-35,984150089;-8,2862557361;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
306;F272;1;1;0;-35,9841835068;-8,2866422387;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2273;328;378;706;203;40075,0360107422;800,8181444271;1;0,005;0,0176169524;MRT IV;5105,25;1578,52;8631,99;38
307;F265;1;1;0;-35,9839943352;-8,2851071919;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
308;F324;1;1;0;-35,9838782311;-8,2845987771;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
309;F325;1;1;0;-35,9839003849;-8,2846519787;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
310;F323;1;1;0;-35,9838466456;-8,2845449606;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
311;F326;1;1;0;-35,9839236672;-8,2847179116;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
312;F327;1;1;0;-35,9839472559;-8,2848836116;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
313;F328;1;1;0;-35,9839502404;-8,2849281672;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
314;F329;1;1;0;-35,9839808358;-8,28504159;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
315;F409;1;1;0;-35,9833534426;-8,2849928266;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
316;F410;1;1;0;-35,9833291023;-8,284952361;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
317;F411;1;1;0;-35,9833467306;-8,284908797;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
318;F412;1;1;0;-35,9833394899;-8,2848627013;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
319;F413;1;1;0;-35,9833010869;-8,2848861705;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
320;F414;1;1;0;-35,9832693615;-8,2848899977;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
321;F415;1;1;0;-35,9832242496;-8,284870145;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
322;F418;1;1;0;-35,9832156477;-8,2847053731;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
323;F419;1;1;0;-35,983150189;-8,2846073021;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
324;F420;1;1;0;-35,98311958;-8,2845160726;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
325;F422;1;1;0;-35,9831074901;-8,2843914146;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
326;F424;1;1;0;-35,9830401392;-8,2842852586;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
327;F425;1;1;0;-35,9830132012;-8,2842305039;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
328;F426;1;1;0;-35,9829330933;-8,2841775663;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
329;F427;1;1;0;-35,9829003066;-8,284106745;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
330;F265;1;1;0;-35,983994336;-8,2851071919;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
331;F324;1;1;0;-35,9838782319;-8,2845987771;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
332;F325;1;1;0;-35,9839003857;-8,2846519786;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
333;F323;1;1;0;-35,9838466465;-8,2845449606;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
334;F326;1;1;0;-35,9839236681;-8,2847179116;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2278;329;376;705;196;40075,0451660156;800,818211488;1;0,005;0,0175919951;MRT IV;5105,25;1578,52;8631,99;38
335;F428;1;1;0;-35,9828670625;-8,2842535362;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
336;F429;1;1;0;-35,9827636037;-8,2841450622;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
337;F430;1;1;0;-35,9827742195;-8,2840605445;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
338;F431;1;1;0;-35,982776713;-8,2840231413;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
339;F432;1;1;0;-35,982631502;-8,283930527;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
340;F433;1;1;0;-35,9825398609;-8,2839226797;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
341;F434;1;1;0;-35,982462928;-8,2839167487;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
342;F435;1;1;0;-35,9824195081;-8,2839122842;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
343;F436;1;1;0;-35,982533766;-8,2837972014;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
344;F437;1;1;0;-35,982203989;-8,2835882889;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
345;F440;1;1;0;-35,9820057376;-8,2836234051;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
346;F441;1;1;0;-35,981989304;-8,2835576641;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
347;F442;1;1;0;-35,9819791246;-8,2834706812;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
348;F3032;1;1;0;-35,9818937792;-8,2834598599;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
349;F443;1;1;0;-35,9818267983;-8,2834547867;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
350;F444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Residencial;2000;0,447;0,178;0,64;0,522;2010;0,31;0,105;0,467;0,357;2549;200ME69580N103540;1KME6958N10353;5KME6955N10350;10KME6950N10350;50KME6950N10350;100KME6900N10350;ID_68;358;397;755;204;0;-8,2834523742;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;;;;;
351;F439;1;1;0;-35,9821157504;-8,2836902627;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2549;358;397;755;204;40074,9182128906;800,8169466892;1;0,005;0,0188397141;MRT IV;5105,25;1578,52;8631,99;38
352;F254;1;1;0;-35,9815457194;-8,2814634736;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
353;F255;1;1;0;-35,9815459895;-8,2816879885;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
354;F448;1;1;0;-35,9816688406;-8,283167333;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
355;F449;1;1;0;-35,9815564487;-8,2830402382;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
356;F450;1;1;0;-35,9814582547;-8,2829373586;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
357;F451;1;1;0;-35,9813974373;-8,2828603523;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
358;F452;1;1;0;-35,9813369969;-8,2828495686;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
359;F453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EdificaÃƒÆ’Ã‚Â§ÃƒÆ’Ã‚Â£o em alvenaria;2000;0,447;0,178;0,64;0,522;2010;0,31;0,105;0,467;0,357;2554;200ME69580N103542;1KME6958N10354;5KME6955N10350;10KME6950N10350;50KME6950N10350;100KME6900N10350;ID_68;225;249;474;126;0;-8,2828638254;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;;;;;
360;F454;1;1;0;-35,9812406185;-8,2828156136;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
361;F254;1;1;0;-35,9815457202;-8,2814634735;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
362;F255;1;1;0;-35,9815459903;-8,2816879885;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2554;225;249;474;126;40074,9085693359;800,8168276654;1;0,003;0,0118278498;MRT IV;5105,25;1578,52;8631,99;38
363;F456;1;1;0;-35,9811111968;-8,2826686602;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
364;F457;1;1;0;-35,9811007627;-8,2826290082;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
365;F458;1;1;0;-35,9810872223;-8,2824910503;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
366;F459;1;1;0;-35,9810282152;-8,282313487;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
367;F460;1;1;0;-35,9809497514;-8,2822732981;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
368;F462;1;1;0;-35,9808431914;-8,2817332121;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
369;F463;1;1;0;-35,9808433934;-8,2816670084;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
370;F464;1;1;0;-35,9808460168;-8,2816037718;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
371;F465;1;1;0;-35,9808485312;-8,2815482952;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
372;F466;1;1;0;-35,980849676;-8,2814883113;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
373;F467;1;1;0;-35,9809606656;-8,2814242872;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
374;F468;1;1;0;-35,9809654758;-8,2813613145;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2555;338;400;738;199;40074,7834472656;800,8155761384;1;0,005;0,0184155705;MRT IV;5105,25;1578,52;8631,99;38
375;F242;1;1;0;-35,9817768836;-8,2797063032;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
376;F243;1;1;0;-35,9817639097;-8,2797850799;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
377;F244;1;1;0;-35,9817484354;-8,2799029321;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
378;F245;1;1;0;-35,9817336746;-8,280033568;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
379;F246;1;1;0;-35,9817126595;-8,2801895971;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
380;F247;1;1;0;-35,9816833989;-8,2804110929;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
381;F248;1;1;0;-35,9816626028;-8,2805686646;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
382;F249;1;1;0;-35,9816454919;-8,2807190427;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
383;F250;1;1;0;-35,9815843952;-8,2810936919;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
384;F251;1;1;0;-35,9815705972;-8,2811852971;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
385;F252;1;1;0;-35,9815630885;-8,2812495887;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
386;F253;1;1;0;-35,9815544049;-8,2813452527;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
387;F242;1;1;0;-35,9817768844;-8,2797063032;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
388;F243;1;1;0;-35,9817639105;-8,2797850799;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
389;F244;1;1;0;-35,9817484363;-8,2799029321;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
390;F245;1;1;0;-35,9817336754;-8,280033568;CARUARU;2604106;260410;26;Pernambuco;2604106;2000;0,447;0,178;0,64;0,522;0,31;0,105;0,467;0,357;2559;116;128;244;67;40074,9271240234;800,8169869363;1;0,002;0,006088595;MRT IV;5105,25;1578,52;8631,99;38
