cod;id;Ocup_2000;Ocup_2010;Ocup_2018;xcoord;ycoord;NM_MU;CODMU;COD_1;COD_UF;UF;COD_2;ANO;IVS_2000;IVS_INF_00;IVS_CPH_00;IVS_REN_00;IVS_2010;IVS_INF_10;IVS_CPH_10;IVS_REN_10;fid;MASC;FEM;POP;DOM_OCU;area;perimeter;URB_RURAL;Dens_Dom;Dens_hab;MRT;VTN_MED;VTN_MIN;VTN_MAX;IDEX
20;F1255;1;0;0;-36,0898604333;-8,0023338055;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;420;0;0;0;0;40082,9135742188;800,8933062863;1;0;0;MRT IV;5105,25;1578,52;8631,99;139
21;F1264;1;0;0;-36,0935321503;-7,9959083288;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;438;5;4;9;5;40083,2021484375;800,8961015415;1;0;0,000224533;MRT V;2395,28;1258,93;3531,64;135
22;F1263;1;0;0;-36,0935816706;-7,9959000632;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;438;5;4;9;5;40083,2021484375;800,8961015415;1;0;0,000224533;MRT V;2395,28;1258,93;3531,64;135
23;F1265;1;0;0;-36,093469799;-7,9959194492;TAQUARITINGA DO NORTE;2615003;261500;26;Pernambuco;2615003;2000;0,539;0,406;0,656;0,555;0,385;0,255;0,495;0,406;438;5;4;9;5;40083,2021484375;800,8961015415;1;0;0,000224533;MRT V;2395,28;1258,93;3531,64;135
24;F1237;1;0;0;-36,0771201262;-8,005218318;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;561;0;0;0;0;40082,048828125;800,8847051967;1;0;0;MRT IV;5105,25;1578,52;8631,99;139
25;F1233;1;0;0;-36,0751204338;-8,0055198967;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;562;7;9;16;5;40081,9279785156;800,8834967856;1;0;0,0003991824;MRT IV;5105,25;1578,52;8631,99;139
26;F1234;1;0;0;-36,0752559;-8,0054990717;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;562;7;9;16;5;40081,9279785156;800,8834967856;1;0;0,0003991824;MRT IV;5105,25;1578,52;8631,99;139
27;F1235;1;0;0;-36,0753900263;-8,0054767781;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;562;7;9;16;5;40081,9279785156;800,8834967856;1;0;0,0003991824;MRT IV;5105,25;1578,52;8631,99;139
28;F1236;1;0;0;-36,0755027761;-8,0054584208;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;562;7;9;16;5;40081,9279785156;800,8834967856;1;0;0,0003991824;MRT IV;5105,25;1578,52;8631,99;139
29;F1402;1;0;0;-36,0661820878;-8,0076014638;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;692;43;47;90;32;40081,2177734375;800,8764390656;1;0,001;0,0022454408;MRT IV;5105,25;1578,52;8631,99;139
30;F1405;1;0;0;-36,0659895141;-8,0076306277;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;692;43;47;90;32;40081,2177734375;800,8764390656;1;0,001;0,0022454408;MRT IV;5105,25;1578,52;8631,99;139
31;F1406;1;0;0;-36,0658396884;-8,0076541287;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;692;43;47;90;32;40081,2177734375;800,8764390656;1;0,001;0,0022454408;MRT IV;5105,25;1578,52;8631,99;139
32;F1407;1;0;0;-36,0656817024;-8,0076855472;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;692;43;47;90;32;40081,2177734375;800,8764390656;1;0,001;0,0022454408;MRT IV;5105,25;1578,52;8631,99;139
33;F1230;1;0;0;-36,0719904184;-8,0059442425;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;699;31;27;58;16;40081,66796875;800,8808980776;1;0;0,0014470456;MRT IV;5105,25;1578,52;8631,99;139
34;F1231;1;0;0;-36,0723653184;-8,005889033;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;699;31;27;58;16;40081,66796875;800,8808980776;1;0;0,0014470456;MRT IV;5105,25;1578,52;8631,99;139
35;F1080;1;0;0;-36,0572904294;-8,0111127024;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
36;F1081;1;0;0;-36,0572994338;-8,0110602275;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
37;F1084;1;0;0;-36,0573141173;-8,0107470267;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
38;F1085;1;0;0;-36,0572809717;-8,0107425815;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
39;F1086;1;0;0;-36,0572483057;-8,0107363895;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
40;F1087;1;0;0;-36,0572107074;-8,0107295904;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
41;F1088;1;0;0;-36,0571751357;-8,0107234592;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
42;F1548;1;0;0;-36,0577557582;-8,0110265123;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
43;F1549;1;0;0;-36,0577269243;-8,0110420506;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;909;55;59;114;34;40080,5278320313;800,8695879577;1;0,001;0,0028442739;MRT IV;5105,25;1578,52;8631,99;139
